Name,Science Case,RA,Dec,z,l,b
1E0657_Bullet,Merging Clusters,104.6125,-55.9475,0.3,266.0227205591723,-21.256806022189682
1E0657_Bullet_shortexp,Merging Clusters,104.6125,-55.9475,0.3,266.0227205591723,-21.256806022189682
A222_A223,Filament,24.4285,-12.8925,0.21255,162.46389743919178,-72.11349184438775
Abell_399_401_pointing_1,Filament,44.5802786,13.2497633,0.0727,164.28199788814752,-39.22591670832836
Abell_399_401_pointing_2,Filament,44.7505184,13.5846612,0.0727,164.19151896961992,-38.858984296333084
Abell_399_401_pointing_3,Filament,44.4617247,13.020693,0.0727,164.34198702435296,-39.47820738257555
Abell1300,Merging Clusters,172.9833,-19.9141,0.31,278.58183970419384,39.16906287393353
Abell141,Merging Clusters,16.3975,-24.6592,0.23,175.91354689970714,-85.97218406346389
Abell1612,Merging Clusters,191.93,-2.7922,0.18,301.0712113536346,60.06611462154849
Abell1689,Merging Clusters,197.8708,-1.3361,0.18,313.3522353276185,61.12943854627569
Abell209,Merging Clusters,22.9708,-13.6108,0.21,159.88048977415008,-73.50895546015545
Abell2163,"Merging Clusters, Exotic Lens",243.9541,-6.1522,0.2,6.767936801792489,30.454752728997242
Abell2345,Merging Clusters,321.7908,-12.1663,0.18,39.86998691214855,-40.00061166401245
Abell2355,Merging Clusters,323.8151,1.4247,0.231,55.9608209276972,-34.87910645010066
Abell2384a,Merging Clusters,328.0907648,-19.5455049,0.094,33.564142831883764,-48.416901719998606
Abell2384b,Merging Clusters,328.0353274,-19.7301182,0.094,33.275528378384315,-48.4279912267866
Abell2440,Merging Clusters,335.954166,-1.620277,0.091,62.410213980050536,-46.40805806508123
Abell2744,Merging Clusters,3.5875,-30.3972,0.31,8.833334894508653,-81.24312698876128
Abell2813,Merging Clusters,10.8624,-20.6169,0.29,106.85050886289153,-83.23782245060733
Abell2895,Merging Clusters,19.5458,-26.97,0.23,212.93306811016913,-84.04364852489792
Abell3016,Filament,36.4707046,-41.9022316,0.22,256.4849408198082,-65.71145873736832
Abell3017,Merging Clusters,36.4708,-41.9144,0.22,256.5104855705308,-65.70532327762623
Abell3084,"Merging Clusters, Exotic Lens",46.0166,-36.9408,0.22,240.6588131114829,-60.406112834241
Abell3088,Merging Clusters,46.7583,-28.6658,0.25,223.89977427560157,-60.100916474882155
Abell3140,Merging Clusters,54.0666,-40.6288,0.06,245.48420921810083,-53.618053189046584
Abell3192,Merging Clusters,59.7041,-29.9344,0.43,228.30677116110152,-49.031160711604386
Abell3292,Merging Clusters,72.4875,-44.6733,0.17,249.89837103736238,-39.83542551665218
Abell3364,Merging Clusters,86.9083,-31.8733,0.15,236.9316864619076,-26.64650861396133
Abell3365,Merging Clusters,87.19583,-21.9094,0.093,226.63815329490114,-23.146192940066335
Abell3376,Merging Clusters,90.54045,-39.94987,0.046,246.49430857751162,-25.999338814663457
Abell3411,Merging Clusters,130.4488,-17.4795,0.17,241.94002368281718,14.84392635020305
Abell3526,Merging Clusters,192.1958,-41.3088,0.01,302.39589402186937,21.560184580079625
Abell3558,Merging Clusters,201.9958,-31.5011,0.05,311.99340029816045,30.726814263204965
Abell3571,Merging Clusters,206.875,-32.8719,0.04,316.31968510684163,28.53823238112865
Abell3667,Merging Clusters,303.1414,-56.8406,0.06,340.85092713784576,-33.39932822850695
Abell370,Merging Clusters,39.9708,-1.5769,0.38,173.00682748297857,-53.55685161570751
Abell3716S,Merging Clusters,312.9772459,-52.7040438,0.045,345.56325156695215,-39.29683613602549
Abell3827,Merging Clusters,330.4541,-59.9541,0.1,332.22692957007024,-46.36468494034171
Abell383,Merging Clusters,42.0125,-3.5291,0.19,177.75621962834572,-53.49840991704935
Abell384,"Merging Clusters, Exotic Lens",42.037,-2.2775,0.23,176.2813726060009,-52.61439763656936
Abell3888,Merging Clusters,338.6125,-37.7349,0.16,3.9429453592569352,-59.415585041389335
Abell520,Merging Clusters,73.5458,2.9336,0.2,195.79555927127902,-24.319352605380054
Abell521,Merging Clusters,73.5358,-10.2441,0.25,208.83341788575183,-30.664515646614735
AbellS0592,Merging Clusters,99.6875,-53.9727,0.22,263.13445043206764,-23.436713808277457
AbellS1063_HFF,Merging Clusters,342.1833333,-44.53,0.348,349.4802799373407,-59.93392580061394
AbellS295,Merging Clusters,41.3666,-53.0422,0.3,271.54091303077325,-56.57177564894942
AbellS780,Exotic Lens,224.8713,-18.1792,0.24,340.9150576344561,35.080349151302144
ACT_CL_J0012_0855_J0012_0857,Filament,3.209432,-8.931089,0.345,94.50432684679596,-69.6435823375031
ACT_CL_J0018d3p1618_J0018d5p1626,Filament,4.608544,16.370221,0.546403,111.54711366195444,-45.7706957956179
ACT_CL_J0245d9m2029_J0246d4m2033,Filament,41.544843,-20.523396,0.313765,205.00291152048612,-63.007582240000055
ACT_CL_J0328d2m2140_J0328d6m2140,Filament,52.102608,-21.670243,0.589811,212.97620101818052,-53.99170081117748
ACT_CL_J0921d4p1810_Cassowary,Exotic Lens,140.357627,18.16981971,0.68,211.88342792338938,41.067265891155806
ACT_CL_J1233d9p1511_J1234d2p1515,Merging Clusters,188.5294425,15.22214473,0.29,283.37247097167767,77.43131017110223
ACT_CL_J1419d3p0638_J1419d9p0634,Triple system,214.8424447,6.6470958,0.556761,352.48451768969284,60.75232692653277
ACT_CL_J1512_1418_J1512_1420,Filament,228.204979,14.3318435,0.179,18.90241118012411,54.70862493356953
ACT_CL_J2319d7p0030_J2319d8p0038_J2320d0+0033,Supercluster,349.9748655,0.5661417423,0.9,80.73302177698281,-54.62608611758761
ACT_CL_J2336d0m3210_J2336d3m3206,Filament,354.049865,-32.13974,0.616266,11.353426602167477,-72.92697026799708
Apep,Wolf-Rayet,240.2104167,-51.7125,0.0,330.0475970118262,0.8995440951303934
C60_C61_Antennae,Big Galaxy,180.4708,-18.8694,0.0,286.95923447534375,42.46020169642351
Centaurus1_long,MW Dwarf Galaxy,189.585,-40.902,0.0,300.2649349839617,21.901911634825474
Centaurus1_short,MW Dwarf Galaxy,189.585,-40.902,0.0,300.2649349839617,21.901911634825474
ChandraDeepFieldSouth,Calibration of photo-zs,53.1166,-27.8083,7.0,223.573094239047,-54.437484113243734
COSMOS106,Calibration of photo-zs,149.91688,2.51498,0.73,236.32456941307404,42.13541684655091
COSMOS113,Calibration of photo-zs,149.8599,1.76499,0.12,237.10139402137244,41.65440938073346
COSMOS34_41_filament,Calibration of photo-zs,150.4678,2.113,0.4,237.1981012528706,42.350875371434284
COSMOS67,Calibration of photo-zs,150.19275,1.6903,0.22,237.4434483466208,41.8806391258364
COSMOSa,Legacy tile,150.290049,1.8976958,0.0,237.2938792682301,42.08091082342383
COSMOSb,Legacy tile,150.0582162,1.8729673,0.0,237.13881729138683,41.87839521808932
COSMOSblank,Calibration of photo-zs,150.51,2.61672,0.0,236.67528195291615,42.677984711237585
COSMOSc,Legacy tile,150.1543075,2.2271866,0.0,236.82627928145462,42.16261879380277
COSMOSd,Legacy tile,149.9245187,2.1942311,0.0,236.6831329174126,41.95642659689921
COSMOSe,Legacy tile,150.314207,2.4339671,0.0,236.72378747656015,42.412688639173716
COSMOSf,Legacy tile,149.7260975,2.081021,0.0,236.65289724811825,41.72921449031706
COSMOSg,Legacy tile,150.0835798,2.5808513,0.0,236.38138176073778,42.309494105611805
COSMOSh,Calibration of photo-zs,149.8761081,2.4827571,0.73,236.3284676804334,42.08355993308938
COSMOSi,Legacy tile,150.5600598,2.4100306,0.0,236.9435876182306,42.598839544246076
COSMOSk,Legacy tile,150.2204764,2.2393269,0.0,236.86474942858723,42.22350145558514
COSMOSl,Legacy tile,150.0537401,2.1066104,0.0,236.87991829896288,42.01078549961987
COSMOSm,Legacy tile,149.9289648,2.4373547,0.0,236.41947874075706,42.10055662993313
COSMOSn,Legacy tile,150.4209153,2.1526395,0.0,237.11756168101667,42.335949546415755
COSMOSo,Legacy tile,150.2580837,2.463938,0.0,236.64673495390429,42.38432347798617
COSMOSp,Legacy tile,150.4966361,2.4270577,0.0,236.87477035015985,42.557156653680444
COSMOSq,Legacy tile,149.7049188,1.9683126,0.0,236.75947371430632,41.64665082977686
COSMOSr,Legacy tile,149.9153793,2.0550056,0.0,236.82844020567794,41.8682539201592
COSMOSs,Legacy tile,149.7713711,2.2111151,0.0,236.545678416624,41.841373835286646
COSMOSt,Legacy tile,150.0757448,2.3699957,0.0,236.60785887586147,42.18137950339419
G292d51p21d98,Merging Clusters,180.2702,-39.8666,0.3,292.5380152211832,21.98664265955381
Hydra2_long,MW Dwarf Galaxy,185.4254167,-31.98527778,0.0,295.6172434847886,30.463772104888704
Hydra2_short,MW Dwarf Galaxy,185.4254167,-31.98527778,0.0,295.6172434847886,30.463772104888704
HydraA,BCG Structure,,,,96.33728336969006,-60.188551946914465
IC4715,Star Cluster,274.2,-18.55,0.0,12.549945070282165,-1.032908583986556
IC5332,Face-on Spiral,353.917,-35.9733,0.0,359.45275935671714,-71.64108781245743
LambdaCen_C100,Nebula,174.15,-63.0333,0.0,294.5655363064732,-1.3836085154147246
Leo4_long,MW Dwarf Galaxy,342.9795833,-0.5333333333,0.0,70.77894636438843,-50.88619167005942
Leo4_short,MW Dwarf Galaxy,342.9795833,-0.5333333333,0.0,70.77894636438843,-50.88619167005942
Leo5_long,MW Dwarf Galaxy,172.79,2.22,0.0,261.8624411735513,58.53743317853024
Leo5_short,MW Dwarf Galaxy,172.79,2.22,0.0,261.8624411735513,58.53743317853024
M104_Sombrero,Big Galaxy,189.9999,-11.616667,0.0,298.46339672599237,51.155811164395104
M17_Omega,Nebula,275.238,-16.2,0.0,15.089326445683794,-0.7944293216049707
M83_SouthernPinwheel,Face-on Spiral,204.2538,-29.8658,0.0,314.583538145209,31.972667255368034
MACS1519d1m8130,Merging Clusters,229.6083,-81.5027,0.48,308.3379578243353,-20.21880432720968
MACS2344m42_Phoenix,Merging Clusters,356.1833,-42.7197,0.6,339.62987846793175,-69.34196573412474
MACSJ0011d7m1523,Merging Clusters,2.9291,-15.3891,0.38,82.74883756455024,-75.06710804063803
MACSJ0025_BabyBullet,Merging Clusters,6.3742,-12.3797,0.59,99.26608580086858,-74.0474585567845
MACSJ0035d4m2015,Merging Clusters,8.85,-20.2708,0.35,93.93674688689339,-82.22329693751651
MACSJ0111d5p0855,Merging Clusters,17.8833,8.9277,0.49,131.31772156416102,-53.6165356630664
MACSJ0159d0m3412,Merging Clusters,29.7666,-34.218,0.41,243.08880529621266,-73.85170457014287
MACSJ0159d8m0849,Merging Clusters,29.9749,-8.8588,0.41,167.66262044244866,-65.59516092922183
MACSJ0217d2m5244,Merging Clusters,34.3125,-52.7605,0.34,276.8283510495012,-59.80008387160081
MACSJ0257d6m2209,Exotic Lens,44.4211,-22.1549,0.32,210.07143790066598,-60.96294853375232
MACSJ0416d1m2403,Merging Clusters,64.0375,-24.0677,0.42,221.08738032670004,-44.05820277593218
MACSJ0417d5m1154,"Merging Clusters, Exotic Lens",64.4041,-11.8958,0.44,205.93588051790496,-39.46408362318576
MACSJ0429d6m0253,Merging Clusters,67.3999,-2.8855,0.4,197.8388476806645,-32.588868519030605
MACSJ0451d9p0006,Merging Clusters,72.9791,0.1041,0.43,198.15077423441772,-26.2669941313864
MACSJ0520d7m1328,Exotic Lens,80.175,-13.4806,0.34,215.2591083897667,-26.108357695770156
MACSJ0553d4m3342,Merging Clusters,88.35,-33.7116,0.43,239.28415071795592,-26.01198088164493
MACSJ0600d1m2007,Exotic Lens,90.0408,-20.1358,0.43,225.93406352032085,-20.020749260071657
MACSJ0723d3_7327_JWST,Merging Clusters,110.8375,-73.4391,0.39,284.97742444605393,-23.694489362052263
MACSJ0916d1m0023,Merging Clusters,139.05,-0.3961,0.33,231.7734976374278,31.489904727780328
MACSJ0949d8p1708,Exotic Lens,147.462,17.1209,0.38,216.63116944259727,47.01050547882449
MACSJ1105d7m1014,Merging Clusters,166.4458,-10.2461,0.47,264.92579286063545,44.68900545978563
MACSJ1115d9p0129,Merging Clusters,168.9666,1.4991,0.35,257.11333135059544,55.62607470329952
MACSJ1141d6m1905,Merging Clusters,175.4208,-19.0875,0.31,280.96537137832735,40.78998422319672
MACSJ1206d2m0847,"Merging Clusters, Exotic Lens",181.55,-8.8005,0.44,284.39682458313615,52.43565257017199
MACSJ1226d8p2153,Merging Clusters,186.7041,21.8836,0.44,254.73419678002313,82.32956399889747
MACSJ1311d0m0310,Merging Clusters,197.7583,-3.1777,0.49,312.5537196383645,59.32748136378345
MACSJ1931d8m2635,Merging Clusters,292.9583,-26.5761,0.35,12.576999440997302,-20.094425483222857
MACSJ2135d2m0102,Merging Clusters,323.8,-1.0494,0.33,53.436162776642256,-36.25929105715467
MACSJ2140d2m2339,Merging Clusters,325.0625,-23.6627,0.31,26.487281699301953,-46.93692235771949
MACSJ2243d3m0935,Merging Clusters,340.8333,-9.5916,0.45,56.93932002046145,-55.0814897145118
MACSJ2332d4m5358,Merging Clusters,353.1166,-53.9747,0.4,325.96199463598293,-59.47991459787981
MS1008d1m1224,Merging Clusters,152.5999,-12.6438,0.31,253.20930931420426,34.25600848338297
MS2137m2353,Merging Clusters,325.0625,-23.6613,0.31,26.48926140753314,-46.93655799936859
NCG6193,Open Star Cluster (PSF calibration),250.333,-48.763,0.0,336.7107586907786,-1.573265829851475
NGC1316_NGC1317,Fornax cluster,50.635138,-37.16876,0.0049,240.09770912076766,-56.725146490881585
NGC1787,Open Star Cluster (PSF calibration),75.438,-65.824,0.0,276.3313655033822,-35.72166140264758
NGC2070_Tarantula,Nebula,84.62417,-69.0895,0.0,279.45432812786726,-31.691797095303574
NGC2997,Face-on Spiral,146.666,-31.301,0.0,262.8240775713803,16.828246216984144
NGC300A_long,Face-on Spiral,13.651484,-37.643548,0.0,299.50042234170047,-79.46358790157723
NGC300A_short,Face-on Spiral,13.651484,-37.643548,0.0,299.50042234170047,-79.46358790157723
NGC3372_Carina,Nebula,161.3079,-60.0137,0.0,287.7694186954937,-0.9107435370120127
NGC3532_WishingWell,Open Star Cluster (PSF calibration),166.417,-58.7069,0.0,289.5545536945244,1.3903635848389557
NGC4755_Jewelbox,Open Star Cluster (PSF calibration),193.415,-60.371,0.0,303.20682362736954,2.499561524098757
NGC5102,TRGB + Big Galaxy,200.49167,-36.630278,0.0,309.73294125766324,25.837989721340612
NGC5128_CenA,TRGB + Big Galaxy,201.7096,-43.1406,0.0,309.7615648413962,19.261207992857365
NGC5460,Open Star Cluster (PSF calibration),211.847,-48.285,0.0,315.75391156280745,12.68685885932882
NGC6744_C101,Face-on Spiral,287.438,-63.86,0.0,332.2209923845948,-26.145058273244626
NGC6752_peacock_120s,Globular Star Cluster,287.7171,-59.9845,0.0,336.49297139078925,-25.62833010996492
NGC6752_peacock_30s,Globular Star Cluster,287.7171,-59.9845,0.0,336.49297139078925,-25.62833010996492
NGC6752_peacock_3s,Globular Star Cluster,287.7171,-59.9845,0.0,336.49297139078925,-25.62833010996492
NGC7293_Helix,Nebula,337.7246,-20.7186,0.0,36.53857758996321,-57.360382505976865
Omega_Centauri,Globular Star Cluster,201.69699,-47.47947,0.0,309.10201397281605,14.968332865295242
Pisces2_long,MW Dwarf Galaxy,344.6291667,5.9525,0.0,79.20634170024536,-47.105798984158
Pisces2_short,MW Dwarf Galaxy,344.6291667,5.9525,0.0,79.20634170024536,-47.105798984158
PLCKG287d0p32d9,Merging Clusters,177.7041,-28.0852,0.39,286.98665273035743,32.90257168397972
PSZ2G294d68m37d01,Merging Clusters,45.991,-77.9032,0.27,294.68435947491304,-37.01650347969323
PSZ2G308d33m20d21,Merging Clusters,229.6124,-81.503,0.48,308.3383079779198,-20.219395133153306
RBS653,Merging Clusters,82.2208,-39.4722,0.29,244.3753647614454,-32.14230114083077
repeat_1E0657_Bullet,Merging Clusters,104.6125,-55.9475,0.3,266.0227205591723,-21.256806022189682
repeat_Abell2384a,Merging Clusters,328.0907648,-19.5455049,0.094,33.564142831883764,-48.416901719998606
repeat_Abell2384b,Merging Clusters,328.0353274,-19.7301182,0.094,33.275528378384315,-48.4279912267866
RXCJ0220d9m3829,Merging Clusters,35.2375,-38.48,0.23,249.82492821844602,-68.12053940442469
RXCJ0232d2m4420,Merging Clusters,38.0749,-44.3611,0.28,259.9925361089987,-63.4414184156187
RXCJ0312d9p0822,Merging Clusters,48.2375,8.3719,0.27,171.96165504598153,-40.656967388735936
RXCJ0528d2m2942,Merging Clusters,82.0625,-29.7174,0.16,233.2474782023441,-30.03168664856552
RXCJ0600d1m2007,Merging Clusters,90.0625,-20.1241,0.46,225.93087605902605,-19.997446093131767
RXCJ1314d4m2515,Merging Clusters,198.6313,-25.2657,0.25,309.4979257002799,37.31152722778806
RXCJ1514d9m1523,Merging Clusters,228.75,-15.3563,0.22,346.6151308344672,35.06587598181443
RXCJ1558d3m1410,Merging Clusters,239.5916,-14.1661,0.1,356.51492189011253,28.676401157626447
RXCJ2003d5m2323,Merging Clusters,300.8833,-23.375,0.32,18.564295530924685,-25.701536257944316
RXCJ2014d9m2430,Merging Clusters,303.7166,-24.5061,0.15,18.335029501162783,-28.519853994692735
RXCJ2043d2m2144,Merging Clusters,310.8125,-21.7427,0.2,23.85028826543963,-33.80818808857885
RXJ0437d1p0043,"Merging Clusters, Exotic Lens",69.2897,0.7311,0.29,195.38295695026835,-29.095220480059236
RXJ1347d5m1145,Merging Clusters,206.8791,-11.7527,0.45,324.03969805796777,48.807175534845925
RXJ2248d7m4431,Merging Clusters,342.1833,-44.53,0.35,349.4802999624747,-59.933904285769025
SMACSJ2031d8m4036,Exotic Lens,307.9719,-40.6252,0.33,0.7425960376800915,-35.70194784467318
SPT_CLJ0254m5857,Merging Clusters,43.5666,-58.953,0.44,277.7564054350707,-51.749135980111156
SPTCLJ0304,Merging Clusters,46.0706,-44.0275,0.46,254.08909983968624,-58.46202938036196
SPTCLJ0411,Merging Clusters,62.817,-48.3145,0.42,255.61594087136507,-46.16358147024629
SPTCLJ0615,Exotic Lens,93.9658,-57.7803,0.97,266.5654923665245,-27.330794779029304
Terzan_5,Globular Star Cluster,267.0202,-24.77906,0.0,3.8394709749135716,1.686817468803448
WR112,Wolf-Rayet,274.1395833,-18.97841667,0.0,12.14571167418699,-1.186107887348114
WR48a,Wolf-Rayet,198.165,-62.7155,0.0,305.3612799054287,0.05610206173332012
Z20_SPT_CLJ0111m5518,Merging Clusters,17.89407,-55.31981,0.5,296.9110058832841,-61.57239697043132
Z20_SPT_CLJ0135m5904,Merging Clusters,23.99831,-59.10447,0.51,292.40810839406896,-57.10415587746997
Z20_SPT_CLJ0144m4807,Merging Clusters,26.10096,-48.13661,0.31,280.2968615162007,-66.5974949504684
Z20_SPT_CLJ0145m5301,Merging Clusters,26.49096,-53.18341,0.117,285.3954698836951,-62.048978030841354
Z20_SPT_CLJ0307m6225,Merging Clusters,46.8333,-62.422,0.58,280.07749940416744,-48.23345583667669
Z20_SPT_CLJ0354m5904,Merging Clusters,58.61676,-59.09708,0.4,271.42552309974815,-45.24788322794751
Z20_SPT_CLJ0439m5330,Merging Clusters,69.90064,-53.53884,0.42,261.67059353365335,-40.87950389744595
Z20_SPT_CLJ0451m4952,Merging Clusters,72.96825,-49.93968,0.39,256.72305949853154,-39.379073297161604
Z20_SPT_CLJ0600m4353,Merging Clusters,90.07561,-43.93144,0.32,250.73363872163713,-27.270003325040758
Z20_SPT_CLJ2344m4224,Merging Clusters,356.1481,-42.41,0.28,340.3224140628543,-69.53543332402543
ZTF20aazyria,Lensed SN,216.9208104,-7.188864,,340.5742766257097,48.52167523279076
Zw3146,BCG Structure,,,,96.33728336969006,-60.188551946914465
ZwCl2341p0000,Merging Clusters,355.919,0.3053,0.27,89.4747565483447,-58.09525277415173
ZwCL5247,Merging Clusters,188.6046,9.7926,0.23,289.0903423989904,72.20543589922859
