No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,MCXC J1514.9-1523,15h14m57.0306s,-15d23m12.487s,228.7376275,-15.38680194444,GClstr,66733.8011508,0.2226,UUN,0.0,37,0,0,7,12,0,0,0,0,0
2,WISEA J151457.70-152344.4,15h14m57.7095s,-15d23m44.476s,228.7404564,-15.3956878,G,66732.002396052,0.222594,SLS,0.557701146632664,4,0,27,5,3,2,0,0,1,0
3,WISEA J151459.38-152325.0,15h14m59.3824s,-15d23m25.011s,228.7474267,-15.3902809,G,31798.086642686,0.106067,SLS,0.604083032396386,1,0,12,2,1,0,0,0,0,0
4,PSZRX G346.60+35.05,15h15m00.2234s,-15d22m47.208s,228.750931,-15.37978,XrayS,66733.8011508,0.2226,SST,0.877388704010871,1,0,0,1,1,0,0,0,0,0
5,RXC J1514.9-1523:[SCB2020]0395,15h15m00.7222s,-15d22m38.699s,228.7530092,-15.3774166,G,1704320.12373,5.685,PUN,1.05305449629354,1,0,0,1,1,0,0,0,0,0
6,RXC J1514.9-1523:[SCB2020]0550,15h15m02.0497s,-15d22m58.392s,228.7585406,-15.3828867,G,1776270.31365,5.925,PUN,1.23241754143054,1,0,0,1,1,0,0,0,0,0
7,WISEA J151451.50-152348.5,15h14m51.5004s,-15d23m48.541s,228.7145853,-15.3968172,G,62167.362430544,0.207368,PUN,1.46213616899917,1,0,27,4,1,2,0,0,1,0
8,WISEA J151458.92-152125.0,15h14m58.9257s,-15d21m25.090s,228.7455238,-15.3569697,G,66607.88831844,0.22218,SLS,1.84731121424254,2,0,21,5,1,0,0,0,0,0
9,[GSB2009] J151452.54-152443.9,15h14m52.5400s,-15d24m43.900s,228.71891666667,-15.41219444444,G,88727.775039512,0.295964,SLS,1.86886965713569,1,0,0,1,1,0,0,0,0,0
10,WISEA J151501.83-152142.1,15h15m01.8320s,-15d21m42.163s,228.7576336,-15.3617122,G,64566.001887002,0.215369,SLS,1.89888965151241,1,0,18,3,1,0,0,0,0,0
11,PSZ2 G346.61+35.06,15h15m00.3984s,-15d21m28.836s,228.75166,-15.35801,GClstr,66733.8011508,0.2226,UUN,1.9087634864963,8,0,0,3,3,0,0,0,0,0
12,WISEA J151503.04-152153.3,15h15m03.0472s,-15d21m53.328s,228.7626967,-15.3648134,G,94.134831812,0.000314,SLS,1.96061168853002,3,0,27,4,2,2,0,0,1,0
13,WISEA J151457.43-152024.9,15h14m57.4363s,-15d20m24.976s,228.7393183,-15.3402713,IrS,65714.5067936,0.2192,PUN,2.79355193450635,2,0,35,5,1,0,0,0,0,0
14,WISEA J151504.64-151923.4,15h15m04.6464s,-15d19m23.464s,228.7693603,-15.3231846,IrS,86550.0826246,0.2887,PUN,4.23564723377253,1,0,28,3,1,0,0,0,0,0
15,WISEA J151514.10-151818.2,15h15m14.1020s,-15d18m18.267s,228.8087586,-15.3050744,G,69800.078411224,0.232828,PUN,6.40193503103076,1,0,27,4,1,2,0,0,1,0
16,[RMT2022] 1515-1517_0698,15h14m58.6080s,-15d16m13.440s,228.7442,-15.2704,G,2296410.22828,7.66,PUN,6.9944642239994,2,0,0,1,1,0,0,0,0,0
17,WISEA J151415.19-153242.6,15h14m15.1814s,-15d32m43.094s,228.563256,-15.545304,G,76960.921063012,0.256714,PUN,13.8606653079174,1,0,27,4,1,2,0,0,1,0
18,WISEA J151549.97-153025.5,15h15m49.9742s,-15d30m25.524s,228.958226,-15.5070901,G,46840.772807752,0.156244,PUN,14.6577805356348,1,0,27,4,1,2,0,0,1,0
